name,website,batch,status,founded_year,team_size,one_liner,yc_slug,source
Rivet,https://rivet.design/,Fall 2025,Active,2025,,Visual editor to design in production code,rivet-design,ycombinator
Openroll,https://www.openroll.com,Fall 2025,Active,2025,4,The AI workforce for People and Finance teams,openroll,ycombinator
Clicks,https://goclicks.ai/,Fall 2025,Active,2025,4,AI agents for your back-office operations.,clicks,ycombinator
DiligenceSquared,https://diligencesquared.com/,Fall 2025,Active,2025,3,AI-powered market due diligence for investment decisions,diligencesquared-inc,ycombinator
Boom AI,https://useboom.ai,Fall 2025,Active,2025,3,AI growth team for e-commerce brands,boom-ai,ycombinator
Freeport Markets,https://www.freeportmarkets.com/,Fall 2025,Active,2025,3,Tradable Twitter Feed ,freeport-markets,ycombinator
Jarmin,https://jarmin.ai/,Fall 2025,Active,2025,,24/7 Machine Learning Engineer employees,jarmin,ycombinator
Exonic,https://exonic.ai,Fall 2025,Active,2025,3,Unsupervised Biological AI,exonic,ycombinator
Lemma,https://www.uselemma.ai/,Fall 2025,Active,2025,2,Reliability platform for AI agents,uselemma,ycombinator
Denki,https://denki.ai,Fall 2025,Active,2025,2,The full-stack AI financial audit firm,denki,ycombinator
Arcten,https://arcten.com,Fall 2025,Active,2025,2,Building the best coding agents.,arcten,ycombinator
Primer,https://www.startprimer.com,Fall 2025,Active,2025,2,AI Product Demos,primer,ycombinator
Philon,https://philon.ai/,Fall 2025,Active,2025,,General Purpose Robots,philon,ycombinator
Sourcebot,https://www.sourcebot.dev/,Fall 2025,Active,2025,2,Helping humans and AI agents understand massive codebases,sourcebot,ycombinator
Patent Watch,https://www.patentwatch.ai/,Fall 2025,Active,2025,4,AI for detecting patent infringements,patent-watch,ycombinator
Leadbay,https://leadbay.ai/,Fall 2025,Active,2025,8,Discover and qualify SMB leads that couldn't be found before.,leadbay,ycombinator
Cortex AI,https://cortexrobot.ai/,Fall 2025,Active,2025,3,Large-scale real-world robot & human data for embodied AI,cortex-ai,ycombinator
Inspector,https://www.tryinspector.com,Fall 2025,Active,2025,2,AI IDE for front-end development,inspector,ycombinator
Thesis,https://thesislabs.ai,Fall 2025,Active,2025,2,Accelerating AI research,thesis,ycombinator
Compyle,https://compyle.ai,Fall 2025,Active,2025,2,The coding agent that actually collaborates with you,compyle,ycombinator
Lexi,https://getlexi.io/,Fall 2025,Active,2025,4,AI Associates for Corporate Law,lexi,ycombinator
Rovr,https://www.withrovr.com/,Fall 2025,Active,2025,3,AI FDE Engine that runs yourengineering workflows,rovr,ycombinator
Redapto,https://www.redapto.com/,Fall 2025,Active,2025,2,,redapto,ycombinator
Helonic,https://helonic.com,Fall 2025,Active,2025,2,Automatic Construction Drawing Clash Detection ,helonic,ycombinator
Aleph Lab,http://alephlab.ai/,Fall 2025,Active,2025,1,AI language buddy in the games kids love,aleph-lab,ycombinator
Sciloop,https://sciloop.dev,Fall 2025,Active,2025,2,Expert STEM reasoning data for frontier AI labs.,sciloop,ycombinator
Allus AI,https://allus.ai,Fall 2025,Active,2025,3,Transforming manufacturing with our next-gen Vision Foundation Model,allus-ai,ycombinator
Unsiloed AI,https://www.unsiloed.ai/,Fall 2025,Active,2025,2,API for parsing multimodal unstructured data,unsiloed-ai,ycombinator
Terrain,https://onterrain.ai/,Fall 2025,Active,2025,2,Stealth,terrain,ycombinator
SellRaze,https://sellraze.com,Fall 2025,Active,2025,6,The fastest way to sell online.,sellraze,ycombinator
Mod AI,https://usemod.ai,Fall 2025,Active,2025,4,Touchless AP Automation,mod-ai,ycombinator
Semble AI,https://www.sembleai.com,Fall 2025,Active,2025,2,Autonomous building-system design for construction companies.,semble-ai,ycombinator
Nessie,https://nessielabs.com/,Fall 2025,Active,2025,2,Shareable AI Brains for Everyone,nessie,ycombinator
Trelium,https://www.trelium.com,Fall 2025,Active,2025,2,TheAgent to Build Your Agents,trelium,ycombinator
Norra,https://www.norra.io,Fall 2025,Active,2025,2,Automating equipment operations for nursing facilities,norra,ycombinator
Soren,https://soren-ai.com,Fall 2025,Active,2025,1,Private AI forRegulated Industries,soren,ycombinator
The Context Company,https://thecontext.company,Fall 2025,Active,2025,2,Monitor AI agents and understand user behavior,the-context-company,ycombinator
Scoop,https://scooplabs.ai,Fall 2025,Active,2025,2,Automating regulatory submissions for life sciences,scoop,ycombinator
Hyperspell,https://hyperspell.com,Fall 2025,Active,2025,6,Memory for AI Agents,hyperspell,ycombinator
Bolna AI,https://bolna.ai,Fall 2025,Active,2025,5,Voice AIto enable India's next billion,bolna-ai,ycombinator
Nexus,https://agent.nexus,Fall 2025,Active,2025,2,We help non-technical teams build AI agents without engineers,gpt,ycombinator
Structured AI,https://www.getstructured.ai/,Fall 2025,Active,2025,8,AI workforce for Construction Engineering,structured-ai,ycombinator
Uplane,https://uplane.com,Fall 2025,Active,2025,7,Replace marketing agencies with AI,uplane,ycombinator
Lapis,https://www.trylapis.com/,Fall 2025,Active,2025,4,AI that creates on-brand image ads,lapis,ycombinator
Mixy,https://usemixy.com,Fall 2025,Active,2025,2,Make mashups without knowing how to DJ,mixy,ycombinator
Paloma,https://getpaloma.ai/,Summer 2025,Active,2025,3,AI-native CRM for putting post-sales operations on autopilot,paloma,ycombinator
Freya,https://freyavoice.ai/,Summer 2025,Active,2025,14,Voice AI for Enterprises,freya,ycombinator
NOSO LABS,https://noso.so,Summer 2025,Active,2025,3,Build AI agents for field technicians to diagnose and sell 10x better,noso-labs,ycombinator
RowFlow,https://rowflow.ai,Summer 2025,Active,2025,2,Replacing forms with AI conversations,rowflow,ycombinator
TectoAI,https://www.tecto.ai/,Summer 2025,Active,2025,2,APlatform for AI Governance,tectoai,ycombinator
