name,website,category,original_category,founded,github_org,twitter_handle,notes,batch,yc_status,ph_slug,tagline,sources,sector,function
OpenAI,https://openai.com,Foundation Models,,2015,openai,OpenAI,,,,,,curated,Cross-industry,Foundation Models
Anthropic,https://anthropic.com,Foundation Models,,2021,anthropics,AnthropicAI,,,,,,curated,Cross-industry,Foundation Models
Mistral AI,https://mistral.ai,Foundation Models,,2023,mistralai,MistralAI,,,,,,curated,Cross-industry,Foundation Models
xAI,https://x.ai,Foundation Models,,2023,xai-org,xai,,,,,,curated,Cross-industry,Foundation Models
Cohere,https://cohere.com,Foundation Models,,2019,cohere-ai,cohere,,,,,,curated,Cross-industry,Foundation Models
Perplexity,https://perplexity.ai,AI Search,,2022,,perplexity_ai,,,,,,curated,Consumer,AI Agent
Character.AI,https://character.ai,Consumer AI,,2022,,character_ai,Google licensing deal Aug 2024,,,,,curated,Consumer,Generative Product
Inflection AI,https://inflection.ai,Consumer AI,,2022,,inflectionAI,Microsoft acquihire March 2024,,,,,curated,Consumer,Foundation Models
Adept,https://adept.ai,AI Agents,,2022,,AdeptAILabs,Amazon acquihire June 2024,,,,,curated,Cross-industry,AI Agent
Stability AI,https://stability.ai,Image AI,Image Generation,2020,stability-ai,StabilityAI,Leadership turmoil 2024,,,,,curated,Cross-industry,Foundation Models
Jasper,https://jasper.ai,AI Writing,,2021,,heyjasperai,Layoffs 2023-2024,,,,,curated,Cross-industry,Generative Product
Runway,https://runwayml.com,Video AI,Video Generation,2018,runwayml,runwayml,,,,,,curated,Cross-industry,Generative Product
ElevenLabs,https://elevenlabs.io,Voice AI,,2022,elevenlabs,elevenlabsio,,,,,,curated,Cross-industry,Generative Product
Hugging Face,https://huggingface.co,ML Infrastructure,,2016,huggingface,huggingface,,,,,,curated,Cross-industry,ML Infrastructure
Suno,https://suno.com,Music AI,Music Generation,2022,,SunoMusic,RIAA lawsuits 2024,,,,,curated,Consumer,Generative Product
Midjourney,https://midjourney.com,Image AI,Image Generation,2021,,midjourney,,,,,,curated,Consumer,Generative Product
Glean,https://glean.com,AI Search,Enterprise Search,2019,,glean,,,,,,curated,Cross-industry,Copilot / Assistant
Harvey,https://harvey.ai,Legal AI,,2022,,harvey__ai,,,,,,curated,Legal,Copilot / Assistant
Writer,https://writer.com,AI Writing,Enterprise Writing,2020,,getwriterai,,,,,,curated,Cross-industry,Generative Product
Synthesia,https://synthesia.io,Video AI,Video Generation,2017,,synthesiaIO,,,,,,curated,Cross-industry,Generative Product
Together AI,https://together.ai,ML Infrastructure,,2022,togethercomputer,togethercompute,,,,,,curated,Cross-industry,ML Infrastructure
Replicate,https://replicate.com,ML Infrastructure,,2019,replicate,replicate,,,,,,curated,Cross-industry,ML Infrastructure
Pika,https://pika.art,Video AI,Video Generation,2023,,pika_labs,,,,,,curated,Consumer,Generative Product
Luma AI,https://lumalabs.ai,Video AI,Video Generation,2021,,LumaLabsAI,,,,,,curated,Cross-industry,Generative Product
Humane,https://humane.com,Engineering AI,AI Hardware,2018,,Humane,HP acquisition Feb 2025 after Pin flop,,,,,curated,Consumer,Generative Product
Rewind AI,https://rewind.ai,Productivity AI,Personal AI,2020,,rewindai,Pivoted to Limitless Pendant,,,,,curated,Consumer,Copilot / Assistant
